"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='30.3mm' Width='1.2mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='30.3mm' Width='1.2mm'"
0.01,0.44112761098834,24.453566669532
0.02,0.623848650196953,22.3972325082233
0.03,0.764055434853284,21.486242662325
0.04,0.88225522197668,20.9431846783764
0.05,0.986391324922011,20.5725837909068
0.06,1.08053755837439,20.2990175807496
0.07,1.16711395511919,20.0864020459172
0.08,1.24769730039391,19.915017597722
0.09,1.32338283296502,19.7730573479912
0.1,1.39496798951188,19.6529631970785
0.11,1.46305477031418,19.5496426754905
0.12,1.52811086970657,19.4595226747729
0.13,1.59050822044139,19.3800122665403
0.14,1.65054838416446,19.3091807883073
0.15,1.7084798909101,19.2455561526304
0.16,1.76451044395336,19.1879936827986
0.17,1.8188157344813,19.1355880679032
0.18,1.87154595059086,19.0876126275549
0.19,1.9228306775037,19.0434764085547
0.2,1.97278264984402,19.0026932390637
0.21,2.0215006684891,18.9648589912855
0.22,2.06907189867297,18.9296345976132
0.23,2.11557370258151,18.8967331752254
0.24,2.16107511674877,18.8659101339852
0.25,2.2056380549417,18.836955483683
0.26,2.24931829641411,18.809687785149
0.27,2.29216630455985,18.7839493455888
0.28,2.33422791023838,18.759602366569
0.29,2.37554488614973,18.7365258291773
0.3,2.41615543276678,18.7146129552313
0.31,2.45609459192122,18.6937691227225
0.32,2.49539460078781,18.6739101424714
0.33,2.53408519644018,18.6549608242797
0.34,2.57219387916104,18.6368537768066
0.35,2.60974614113515,18.6195283974398
0.36,2.64676566593004,18.6029300176059
0.37,2.68327450319984,18.5870091760226
0.38,2.71929322227277,18.5717209978549
0.39,2.75484104766045,18.5570246620095
0.4,2.78993597902375,18.5428829421496
0.41,2.82459489772029,18.5292618096703
0.42,2.85883366172357,18.5161300889846
0.43,2.89266719042825,18.5034591571659
0.44,2.92610954062836,18.4912226813556
0.45,2.95917397476603,18.4793963884494
0.46,2.99187302239064,18.4679578624746
0.47,3.02421853563614,18.4568863658093
0.48,3.05622173941314,18.4461626809968
0.49,3.08789327691838,18.4357689704081
0.5,3.11924325098477,18.4256886514212
0.51,3.15028126172732,18.4159062851299
0.52,3.18101644088278,18.4064074768805
0.53,3.2114574831909,18.3971787871817
0.54,3.24161267512316,18.3882076517303
0.55,3.27148992122785,18.379482309473
0.56,3.30109676832893,18.370991737764
0.57,3.33044042778849,18.3627255938095
0.58,3.359527796019,18.354674161688
0.59,3.38836547341053,18.3468283043312
0.6,3.41695978182021,18.3391794199255
0.61,3.44531678075516,18.3317194022611
0.62,3.47344228236621,18.3244406046126
0.63,3.50134186535757,18.3173358067862
0.64,3.52902088790672,18.3103981850096
0.65,3.55648449967917,18.3036212843802
0.66,3.58373765301459,18.2969989936174
0.67,3.61078511335288,18.2905255218965
0.68,3.63763146896261,18.284195377562
0.69,3.66428114002779,18.2780033485451
0.7,3.69073838714418,18.271944484325
0.71,3.71700731927123,18.2660140792922
0.72,3.74309190118172,18.2602076573878
0.73,3.76899596044735,18.2545209579037
0.74,3.79472319399515,18.2489499223421
0.75,3.82027717426642,18.2434906822416
0.76,3.84566135500739,18.2381395478877
0.77,3.87087907671805,18.232892997832
0.78,3.89593357178352,18.2277476691528
0.79,3.92082796931033,18.2227003483963
0.8,3.94556529968805,18.2177479631422
0.81,3.97014849889506,18.2128875741442
0.82,3.99458041256588,18.2081163679987
0.83,4.01886379983588,18.2034316503014
0.84,4.0430013369782,18.1988308392531
0.85,4.0669956208464,18.1943114596805
0.86,4.0908491721353,18.1898711374402
0.87,4.11456443847175,18.1855075941781
0.88,4.13814379734594,18.181218642417
0.89,4.16158955889321,18.1770021809482
0.9,4.18490396853563,18.1728561905067
0.91,4.20808920949182,18.1687787297068
0.92,4.23114740516302,18.1647679312231
0.93,4.25408062140271,18.1608219981967
0.94,4.27689086867672,18.1569392008532
0.95,4.29958010412024,18.1531178733158
0.96,4.32215023349755,18.1493564106029
0.97,4.34460311307019,18.1456532657955
0.98,4.36694055137867,18.142006947364
0.99,4.38916431094255,18.138416016644
1,4.4112761098834,18.1348790854519
