"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
0.1,38.0442070601557,1.44130381885123,
0.11,39.9011009863086,1.43848601418015,
0.12,41.6753407784891,1.43602822017101,
0.13,43.3770699573726,1.4338597758361,
0.14,45.0145128505285,1.43192802726228,
0.15,46.5944474830853,1.43019282700534,
0.16,48.1225384340601,1.42862295691682,
0.17,49.6035772341189,1.42719372694224,
0.18,51.0416598819513,1.42588531872059,
0.19,52.4403204851801,1.42468161550509,
0.2,53.8026335942024,1.42356935819428,
0.21,55.1312937518756,1.42253752522946,
0.22,56.4286781684561,1.4215768694033,
0.23,57.6968967009734,1.42067956671585,
0.24,58.9378321454598,1.41983894659267,
0.25,60.1531730425752,1.41904928208443,
0.26,61.3444406297229,1.41830562489883,
0.27,62.5130111677337,1.41760367436564,
0.28,63.6601345768354,1.41693967238273,
0.29,64.7869501012696,1.41631031846683,
0.3,65.8944995618602,1.41571270051434,
0.31,66.9837386355195,1.41514423795042,
0.32,68.0555465092684,1.41460263472916,
0.33,69.1107341862231,1.41408584022896,
0.34,70.1500516667122,1.41359201652226,
0.35,71.1741941852944,1.4131195108268,
0.36,72.1838076510902,1.41266683219617,
0.37,73.1794934123843,1.41223263169959,
0.38,74.1618124453333,1.41181568548996,
0.39,75.1312890496389,1.41141488027569,
0.4,76.0884141203113,1.41102920080306,
0.41,77.0336480534811,1.41065771902833,
0.42,77.9674233350775,1.41029958471659,
0.43,78.8901468536774,1.40995401725025,
0.44,79.8022019726172,1.40962029846752,
0.45,80.7039503913036,1.40929776638115,
0.46,81.595733821356,1.40898580965244,
0.47,82.4778754996101,1.40868386271548,
0.48,83.3506815569782,1.40839140146295,
0.49,84.2144422596052,1.40810793941885,
0.5,85.0694331365855,1.40783302433431,
0.51,85.9159160066608,1.40756623515239,
0.52,86.7541399147452,1.40730717929549,
0.53,87.5843419877708,1.40705549023564,
0.54,88.4067482181897,1.40681082531341,
0.55,89.22157418247,1.40657286377594,
0.56,90.029025701057,1.40634130500858,
0.57,90.8292994455269,1.40611586693792,
0.58,91.6225834980044,1.40589628458688,
0.59,92.4090578673562,1.40568230876514,
0.6,93.1888949661706,1.40547370488011,
0.61,93.9622600521059,1.4052702518555,
0.62,94.7293116368064,1.40507174114632,
0.63,95.4902018652531,1.40487797584012,
0.64,96.2450768681203,1.40468876983585,
0.65,96.994077089449,1.40450394709245,
0.66,97.7373375917187,1.40432334094028,
0.67,98.4749883401932,1.4041467934493,
0.68,99.2071544682377,1.40397415484856,
0.69,99.9339565251391,1.40380528299214,
0.7,100.65551070782,1.40364004286715,
0.71,101.371929077707,1.40347830614006,
0.72,102.083319763903,1.40331995073774,
0.73,102.789787153699,1.40316486046019,
0.74,103.491432071386,1.40301292462221,
0.75,104.188351946223,1.40286403772133,
0.76,104.88064097036,1.40271809912999,
0.77,105.568390247447,1.4025750128096,
0.78,106.251687932573,1.40243468704504,
0.79,106.930619364167,1.40229703419752,
0.8,107.605267188405,1.40216197047458,
0.81,108.275711476635,1.40202941571574,
0.82,108.942029836309,1.40189929319258,
0.83,109.604297515831,1.40177152942206,
0.84,110.262587503751,1.40164605399217,
0.85,110.916970622651,1.40152279939885,
0.86,111.567515618076,1.40140170089337,
0.87,112.214289242828,1.40128269633941,
0.88,112.857356336912,1.40116572607909,
0.89,113.496779903398,1.40105073280728,
0.9,114.132621180467,1.40093766145367,
0.91,114.764939709859,1.40082645907188,
0.92,115.393793401947,1.40071707473536,
0.93,116.019238597634,1.40060945943937,
0.94,116.641330127268,1.40050356600868,
0.95,117.260121366737,1.40039934901075,
0.96,117.87566429092,1.40029676467378,
0.97,118.488009524632,1.40019577080948,
0.98,119.09720639122,1.40009632674019,
0.99,119.703302958926,1.39999839322997,
1,120.30634608515,1.39990193241966,
